Person,FuD-ID,Feld,VIAF-Nummer
"Barthélemy, abbé Louis",4551,viaf,http://viaf.org/viaf/89070762
"Barthélémy, Marseille Auguste",6164,viaf,http://viaf.org/viaf/51720080
"Basseporte, Madeleine Françoise",6566,viaf,http://viaf.org/viaf/37186632
"Bastide, Jenny",4236,viaf,http://viaf.org/viaf/100327480
"Bathilde, Mademoiselle",5098,viaf,
"Battagna, Herr",6502,viaf,
"Batteux, Charles",3410,viaf,http://viaf.org/viaf/7091
"Baude, Jean-Jacques",2732,viaf,http://viaf.org/viaf/45833974
"Baudin, Admiral Charles",6280,viaf,http://viaf.org/viaf/30278275
"Baudrand, Marie-Étienne-François-Henri",2836,viaf,http://viaf.org/viaf/74153316
"Bauer, Monsieur de",4101,viaf,
"Baumeister, Herr (Offizier der Nationalgarde bei Dyck)",4852,viaf,
"Baumont, Madame",4051,viaf,
"Baumont, Mademoiselle",4050,viaf,
"Bavier, Madame de",5581,viaf,
"Bavier, Major de",2642,viaf,
"Bavier, Monsieur de",3716,viaf,
"Bayard, Jean François Alfred",2349,viaf,http://viaf.org/viaf/14905216
"Bayard, Pierre Teillard, seigneur de Baillard, genannt chevalier",6172,viaf,
"Bayern, Könige von (Siehe Einträge unter Vornamen)",6636,viaf,
"Bazin, Eugène Louis (Notar in Paris)",3574,viaf,
"Bazin, Mademoiselle",4252,viaf,
"Bazot, Etienne-François",4834,viaf,http://viaf.org/viaf/79058572
"Béarn, Alexandre de Galard de Brassac de",3301,viaf,
"Beauchamp, Alphonse de",3006,viaf,http://viaf.org/viaf/46853188
"Beauchesne, Alcide de",4500,viaf,http://viaf.org/viaf/69024872
"Beauchesne, Alfred de",2592,viaf,http://viaf.org/viaf/52433712
"Beaucourt, Mademoiselle (Schauspielerin)",5272,viaf,
"Beaufort d'Hautpoul, Anne-Marie, comtesse de, geb. de Montgeroult",3290,viaf,http://viaf.org/viaf/5267001
"Beaufort d'Hautpoul, Édouard Brandoin de Ballaguier marquis de",3082,viaf,http://viaf.org/viaf/2990152744522527850003
"Beaufort, J. G. (Inhaber einer Druckerei in Aachen, imprimeur de la Préfecture)",3605,viaf,
"Beauharnais, Eugène de",2611,viaf,http://viaf.org/viaf/21153182694526791718
"Beauharnais, Fanny de, geb. Marie-Anne-Françoise Mouchard de Chaban",1894,viaf,http://viaf.org/viaf/66475912
"Beauharnais, Hortense de, Königin von Holland, Gemahlin von Louis Bonaparte",2804,viaf,http://viaf.org/viaf/315678692
"Beauharnais, Joséphine de, jr., spätere Königin von Schweden (Tochter des Eugène de Beauharnais)",3216,viaf,http://viaf.org/viaf/53761094
"Beauharnais, Joséphine de, Kaiserin der Franzosen, geb. Tascher de la Pagerie",2687,viaf,http://viaf.org/viaf/22181438
"Beauharnais, Maximilien de",2870,viaf,http://viaf.org/viaf/62313663
"Beauharnais, Stéphanie de (Siehe Baden)",3453,viaf,http://viaf.org/viaf/52482346
"Beaumarchais, Pierre Augustin Caron de",3215,viaf,http://viaf.org/viaf/29529962
"Beaumont, Léonce Élie de",3097,viaf,http://viaf.org/viaf/73970870
"Beaumont, Mademoiselle de",6677,viaf,
"Beaumont, Monsieur de",5590,viaf,
"Beauné, Monsieur (ehemaliger Priester)",4200,viaf,
"Beauregard, comtesse de",4759,viaf,
"Beauvallet, Pierre-François",6531,viaf,http://viaf.org/viaf/12488751
"Becdelièvre, comtesse de",3433,viaf,
"Béchard, Ferdinand",6390,viaf,http://viaf.org/viaf/282986136
"Becker, Monsieur",5820,viaf,
"Beckford, William",3286,viaf,http://viaf.org/viaf/4926466
"Becquerel, Antoine-César",3375,viaf,http://viaf.org/viaf/37003689
"Beethoven, Ludwig van",6645,viaf,http://viaf.org/viaf/32182557
"Behr, baronne de",4944,viaf,
"Behr, Michel",2377,viaf,
"Beiffant (?), Monsieur (Autor)",4137,viaf,
"Beissel, Monsieur",5863,viaf,
"Belangé, Monsieur",5437,viaf,
"Bélanger (Bellanger?), Monsieur",5428,viaf,
"Bélanger, Charles",2588,viaf,http://viaf.org/viaf/34575499
"Bélanger, François-Joseph",2389,viaf,http://viaf.org/viaf/49256807
"Bélanger, Monsieur",2685,viaf,
"Bélart (?), Monsieur",4000,viaf,
"Belart, Monsieur",5021,viaf,
"Belderbusch, Graf von",4132,viaf,
"Belgiojoso, Cristina Trivulzio",3250,viaf,http://viaf.org/viaf/59152953
"Bellart, Nicolas-François",3317,viaf,http://viaf.org/viaf/286398879
"Bellegarde, Félix de",3325,viaf,
"Belliard, Augustin Daniel, General",3736,viaf,http://viaf.org/viaf/64241814
"Belliard, Zéphirin",3024,viaf,http://viaf.org/viaf/87692638
"Belloc, Louise Swanton",6271,viaf,http://viaf.org/viaf/41887448
"Belloy, Pierre Laurent Buirette de",2543,viaf,http://viaf.org/viaf/68962659
"Belmont, Madame (Schauspielerin)",4593,viaf,
Belmonte,5458,viaf,
"Belmontet, Louis",6510,viaf,http://viaf.org/viaf/5111232
"Beltrami, Giacomo Costantino",3075,viaf,http://viaf.org/viaf/169272
"Ben, Madame",2287,viaf,
"Bénard, Abraham-Joseph , gen. Fleury",2553,viaf,http://viaf.org/viaf/152152636120520051894
"Benevelli, Gräfin (?)",6530,viaf,
"Bénévent, Catherine Noelle Verlée, princesse de Talleyrand, princesse de",4004,viaf,http://viaf.org/viaf/316737324
"Benincasa, Bartolomeo",1895,viaf,http://viaf.org/viaf/222769124
"Benoist, Pierre-Vincent",2291,viaf,http://viaf.org/viaf/54166258
"Benoit, Madame",4067,viaf,
"Benoit, Monsieur",4157,viaf,
"Benserade, Isaac de",3080,viaf,http://viaf.org/viaf/2466353
"Bensing, Herr (Voltige Lehrer)",5861,viaf,
"Béquet, Étienne",4657,viaf,http://viaf.org/viaf/24846073
"Béranger, Pierre-Jean de",2521,viaf,http://viaf.org/viaf/12319139
"Berchem, Monsieur",4624,viaf,
Berckenkamp,4905,viaf,
"Berg, Feldmarschall von",5348,viaf,
"Berg, Großherzog von (Siehe Murat)",3268,viaf,
"Bergeon, Madame",5877,viaf,
"Bergeon, Madame P.",2589,viaf,
Berger (Schuhmacher),4922,viaf,
"Berger, Madame",5928,viaf,
"Berger, Monsieur",4782,viaf,
"Bergeron, Madame",4768,viaf,
"Bergheim, Herr",4153,viaf,
"Béringen/Béringer, Monsieur",4902,viaf,
"Béringer, Beatus",5654,viaf,
"Berlier, comtesse de",5005,viaf,
"Berlier, Ehepaar (de?)",4992,viaf,
"Berlier, Théophile (comte)",3598,viaf,http://viaf.org/viaf/49325893
"Bernadotte, Desideria (Siehe Desideria Bernadotte)",3469,viaf,http://viaf.org/viaf/47555301
"Bernadotte, Jean-Baptiste Jules (Siehe Karl XIV. Johann König von Schweden)",3481,viaf,http://viaf.org/viaf/73959251
"Bernard de Rennes, Louis Bernard, gen.",2212,viaf,
"Bernard, Samuel",3149,viaf,http://viaf.org/viaf/39219893
"Bernardin de Saint-Pierre, Jacques Henri",2641,viaf,http://viaf.org/viaf/59088938
"Bernay, Camille",6285,viaf,http://viaf.org/viaf/34717727
"Berr / Behr, Michel",2735,viaf,http://viaf.org/viaf/61680557
"Berr, Agathe (Schwägerin von Michel Berr)",4889,viaf,
"Berr, Herr (Bruder von Michel Berr)",4899,viaf,
"Berr, Madame (Ehefrau von Michel Berr)",3623,viaf,
"Berriot-Saint-Prix, Monsieur (Autor)",4682,viaf,http://viaf.org/viaf/46843428
"Berry, Caroline de Bourbon-Siciles, duchesse de",3460,viaf,http://viaf.org/viaf/46769127
"Berry, Charles Ferdinand d'Artois, duc de",4061,viaf,http://viaf.org/viaf/47194544
"Berryer, Pierre-Antoine",2647,viaf,http://viaf.org/viaf/71464461
"Berstett, Wilhelm Ludwig Leopold Reinhard Freiherr von",6247,viaf,http://viaf.org/viaf/54892705
"Bert, Pierre-Nicolas",2695,viaf,http://viaf.org/viaf/38768380
"Berteuil, Pierre-François",2128,viaf,
"Berthollet, Claude Louis",6406,viaf,http://viaf.org/viaf/56670416
"Berthot, Monsieur (Buchhändler in Brüssel)",4476,viaf,
"Berthoud, Pierre-Louis",2203,viaf,http://viaf.org/viaf/72175272
"Bertin, Louis-François",3545,viaf,http://viaf.org/viaf/116360
"Berton, Henri Montan",1896,viaf,http://viaf.org/viaf/10112179
"Bertrand, Arthur / Arthus (Siehe Arthus-Bertrand)",4222,viaf,http://viaf.org/viaf/73566755
"Bertrand, Léon",6311,viaf,
"Bertrand, Monsieur",4646,viaf,
"Berville, Madame",5993,viaf,
"Berville, Saint-Albin",4803,viaf,http://viaf.org/viaf/46869684
"Berzelius, Jöns Jakob",4756,viaf,http://viaf.org/viaf/41868753
"Bessa, Monsieur",6080,viaf,
"Bessel, Monsieur",3638,viaf,
"Bessières, Jean-Baptiste, duc d'Istrie, maréchal d'Empire",2724,viaf,http://viaf.org/viaf/203213556
"Besson, Monsieur",4767,viaf,
"Bethancourt, Madame de",5869,viaf,
"Bethmann-Hollweg, August von",6494,viaf,http://viaf.org/viaf/3261767
"Béthune-Charost, Armand Joseph, duc de",3527,viaf,http://viaf.org/viaf/12418531
Betzy (Schwester der Joséphine Sandt),5083,viaf,
"Beuchot, Adrien-Jean-Quentin (?)",2953,viaf,http://viaf.org/viaf/100979278
"Beugnot, Jacques Claude, comte",1897,viaf,http://viaf.org/viaf/34447482
"Beugnot, Marguerite",1898,viaf,
"Beust, Graf von",4077,viaf,
"Bey, Jussuf",4724,viaf,http://viaf.org/viaf/47541953
"Bèze, Théodore de",3164,viaf,http://viaf.org/viaf/66463755
"Bianchi, Lombardi",5103,viaf,http://viaf.org/viaf/72137873
"Bibre/Biber, Adèle",4969,viaf,
