Person,FuD-ID,Feld,URN
"Bernadotte, Desideria (Siehe Desideria Bernadotte)",3469,gnd,http://d-nb.info/gnd/118638742
"Bernadotte, Jean-Baptiste Jules (Siehe Karl XIV. Johann König von Schweden)",3481,gnd,http://d-nb.info/gnd/118560174
"Bernard de Rennes, Louis Bernard, gen.",2212,gnd,
"Bernard, Samuel",3149,gnd,http://d-nb.info/gnd/118819003
"Bernardin de Saint-Pierre, Jacques Henri",2641,gnd,http://d-nb.info/gnd/118604945
"Bernay, Camille",6285,gnd,http://d-nb.info/gnd/1055524827
"Berr / Behr, Michel",2735,gnd,http://d-nb.info/gnd/100037720
"Berr, Agathe (Schwägerin von Michel Berr)",4889,gnd,
"Berr, Herr (Bruder von Michel Berr)",4899,gnd,
"Berr, Madame (Ehefrau von Michel Berr)",3623,gnd,
"Berriot-Saint-Prix, Monsieur (Autor)",4682,gnd,http://d-nb.info/gnd/116148322
"Berry, Caroline de Bourbon-Siciles, duchesse de",3460,gnd,http://d-nb.info/gnd/119333643
"Berry, Charles Ferdinand d'Artois, duc de",4061,gnd,http://d-nb.info/gnd/104142316
"Berryer, Pierre-Antoine",2647,gnd,http://d-nb.info/gnd/121124797
"Berstett, Wilhelm Ludwig Leopold Reinhard Freiherr von",6247,gnd,http://d-nb.info/gnd/116148527
"Bert, Pierre-Nicolas",2695,gnd,
"Berteuil, Pierre-François",2128,gnd,
"Berthollet, Claude Louis",6406,gnd,http://d-nb.info/gnd/119071029
"Berthot, Monsieur (Buchhändler in Brüssel)",4476,gnd,
"Berthoud, Pierre-Louis",2203,gnd,http://d-nb.info/gnd/117589500
"Bertin, Louis-François",3545,gnd,http://d-nb.info/gnd/121057690
"Berton, Henri Montan",1896,gnd,http://d-nb.info/gnd/11614968X
"Bertrand, Arthur / Arthus (Siehe Arthus-Bertrand)",4222,gnd,
"Bertrand, Léon",6311,gnd,
"Bertrand, Monsieur",4646,gnd,
"Berville, Madame",5993,gnd,
"Berville, Saint-Albin",4803,gnd,http://d-nb.info/gnd/123728851
"Berzelius, Jöns Jakob",4756,gnd,http://d-nb.info/gnd/118510185
"Bessa, Monsieur",6080,gnd,
"Bessel, Monsieur",3638,gnd,
"Bessières, Jean-Baptiste, duc d'Istrie, maréchal d'Empire",2724,gnd,http://d-nb.info/gnd/119460262
"Besson, Monsieur",4767,gnd,
"Bethancourt, Madame de",5869,gnd,
"Bethmann-Hollweg, August von",6494,gnd,http://d-nb.info/gnd/118510339
"Béthune-Charost, Armand Joseph, duc de",3527,gnd,http://d-nb.info/gnd/130817511
Betzy (Schwester der Joséphine Sandt),5083,gnd,
"Beuchot, Adrien-Jean-Quentin (?)",2953,gnd,http://d-nb.info/gnd/115676732
"Beugnot, Jacques Claude, comte",1897,gnd,http://d-nb.info/gnd/116157968
"Beugnot, Marguerite",1898,gnd,
"Beust, Graf von",4077,gnd,
"Bey, Jussuf",4724,gnd,http://d-nb.info/gnd/117509094
"Bèze, Théodore de",3164,gnd,http://d-nb.info/gnd/118662864
"Bianchi, Lombardi",5103,gnd,http://d-nb.info/gnd/116161396
"Bibre/Biber, Adèle",4969,gnd,
"Bidau(l)t, Monsieur (Notar in Tours)",6616,gnd,
"Biergans, Joseph Wilhelm (Staatsanwalt in Köln)",4356,gnd,http://d-nb.info/gnd/116165987
"Bigaux, Madame",5159,gnd,
"Bigland, John",3029,gnd,http://d-nb.info/gnd/130370797
"Bignan, Anne",2200,gnd,http://d-nb.info/gnd/100737781
"Bignan, Madame",6509,gnd,
"Bigot de Préameneu, Félix Julien Jean",2172,gnd,http://d-nb.info/gnd/116180315
"Bigottini, Émilie",5425,gnd,http://d-nb.info/gnd/116180307
"Billington, Elisabeth",2569,gnd,http://d-nb.info/gnd/104365064
"Billy, Jean-Louis de",1899,gnd,
"Binet, René",3366,gnd,http://d-nb.info/gnd/131746758
"Bis, Monsieur",5031,gnd,
"Bischoff, Prof. (Professor der Botanik in Heidelberg)",5688,gnd,
"Bisseret, comte de",6193,gnd,
"Bitaubé, Paul Jérémie",3119,gnd,http://d-nb.info/gnd/116197870
"Blacas d’Aulps, Pierre-Louis de",4547,gnd,http://d-nb.info/gnd/131756109
"Blacas, comtesse de",4234,gnd,
"Blacas, Monsieur de",4199,gnd,
"Blaikie, Thomas",4187,gnd,http://d-nb.info/gnd/123991870
"Blanchard, Madame",4790,gnd,
"Blanchard, Monsieur",4901,gnd,
"Blanqui, Adolphe",6237,gnd,http://d-nb.info/gnd/117606308
"Blein, François-Ange-Alexandre",3404,gnd,
"Blondeau, Marie-Catherine",6578,gnd,http://d-nb.info/gnd/1217677003
"Blondeau, Monsieur (Verleger?)",6353,gnd,
"Blot-Lequesne, Jean-Baptiste",6527,gnd,
"Blücher, Gebhard Leberecht von",4124,gnd,http://d-nb.info/gnd/118511882
"Bocage, eigentl. Tousez, Pierre-Martinien",3790,gnd,http://d-nb.info/gnd/129810096
"Boccaccio, Giovanni",2816,gnd,http://d-nb.info/gnd/11851217X
"Bodelschwingh, Ernst von",3134,gnd,http://d-nb.info/gnd/118660470
"Bodmont, Olympe Mademoiselle",4104,gnd,
"Böhnen (?), Baron von",5155,gnd,
"Boersch, Charles",6453,gnd,http://d-nb.info/gnd/1075494583
"Bohrer, Max (Cellist)",6319,gnd,http://d-nb.info/gnd/116233230
"Bohrman, Landrat",5811,gnd,
"Boieldieu, François-Adrien",3153,gnd,http://d-nb.info/gnd/118512978
"Boigne, Benoît, comte de",3376,gnd,http://d-nb.info/gnd/118938959
"Boileau, Nicolas",2253,gnd,http://d-nb.info/gnd/1042472750
"Boilly, Louis Léopold",3836,gnd,http://d-nb.info/gnd/119357895
"Boisemont, Madame de",5874,gnd,
"Boismont, Madame de",6078,gnd,
"Boissard, Georges-David-Frédéric",2674,gnd,http://d-nb.info/gnd/103127410
"Boissière, Monsieur",4190,gnd,
"Boissin, Mademoiselle",5828,gnd,
"Boissonade, Jean-François",4073,gnd,http://d-nb.info/gnd/116233958
"Boissy d'Anglas, François-Antoine",2949,gnd,http://d-nb.info/gnd/118929941
"Bolívar, Simón",3235,gnd,http://d-nb.info/gnd/118513052
"Bombelles, Marc Marie, marquis de",5054,gnd,http://d-nb.info/gnd/116237309
"Bomet, Madame",4410,gnd,
"Bonafour, Monsieur (aus Lyon?)",3767,gnd,
"Bonafous, Matthieu",3386,gnd,http://d-nb.info/gnd/1157471307
"Bonald, Louis, vicomte de",3296,gnd,http://d-nb.info/gnd/118661299
"Bonald, Louis-Jacques-Maurice de (Erzbischof von Lyon)",6392,gnd,http://d-nb.info/gnd/1045805262
"Bonald, Monsieur [de]",4432,gnd,
"Bonaparte, Charles-Lucien, Prinz von Canino",6399,gnd,http://d-nb.info/gnd/118513141
"Bonaparte, Élisa",2922,gnd,http://d-nb.info/gnd/118505483
"Bonaparte, Hortense (Siehe Beauharnais)",3455,gnd,http://d-nb.info/gnd/118553720
"Bonaparte, Jérôme",2612,gnd,http://d-nb.info/gnd/136625193
"Bonaparte, Joseph, König von Neapel, später von Spanien",2585,gnd,http://d-nb.info/gnd/118713140
"Bonaparte, Laetitia, verh. Wyse",2878,gnd,http://d-nb.info/gnd/1075495059
"Bonaparte, Louis Napoléon (Siehe Napoléon III)",6363,gnd,http://d-nb.info/gnd/118586416
"Bonaparte, Louis, König von Holland",2891,gnd,http://d-nb.info/gnd/118896156
"Bonaparte, Lucien",2662,gnd,http://d-nb.info/gnd/118513141
"Bonaparte, Maria Letizia geb. Ramolino (Mutter von Napoleon I.)",6659,gnd,http://d-nb.info/gnd/118661310
"Bonaparte, Napoléon (Siehe Napoléon)",3456,gnd,http://d-nb.info/gnd/118586408
"Bonaparte, Napoleon François Charles Joseph, Kronprinz von Frankreich, König von Rom",2590,gnd,http://d-nb.info/gnd/118743996
"Bonaparte, Pauline, verh. Borghese",1900,gnd,http://d-nb.info/gnd/118513540
"Bonaparte, Princesse Julie",3844,gnd,http://d-nb.info/gnd/102476320X
"Bonaparte, Zénaïde Laetitia Julie",2613,gnd,http://d-nb.info/gnd/140467394
"Bonchamps, Charles de",6486,gnd,http://d-nb.info/gnd/118853104
"Bondeville, Monsieur de",2746,gnd,
"Bondry, Ehepaar",4861,gnd,
"Boniface, Xavier, gen. Saintine",2664,gnd,http://d-nb.info/gnd/100428649
"Bonjour, Casimir",5809,gnd,http://d-nb.info/gnd/116238836
"Bonjour, Félix",4267,gnd,http://d-nb.info/gnd/1050723562
