Person,Siehe auch,FuD-ID,Feld
"Angoulême, Marie-Thérèse Charlotte de Bourbon, duchesse de","['http://catalogue.bnf.fr/ark:/12148/cb12066691x', 'http://dbpedia.org/resource/Marie_Th%C3%A9r%C3%A8se_of_France', 'http://id.loc.gov/rwo/agents/n50082074', 'http://isni.org/isni/0000000109053852', 'http://viaf.org/viaf/59105273', 'http://www.portraitindex.de/dokumente/pnd/119064332', 'http://www.wikidata.org/entity/Q659488', 'https://d-nb.info/gnd/119064332/about', 'https://de.wikipedia.org/wiki/Marie_Th%C3%A9r%C3%A8se_Charlotte_de_Bourbon', 'https://en.wikipedia.org/wiki/Marie_Th%C3%A9r%C3%A8se_of_France', 'https://kalliope-verbund.info/gnd/119064332', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/119064332']",2769,gnd
"Anhalt-Bernburg, Herzogin von (Schwester der Friederike von Schleswig-Holstein-Sonderburg-Glücksburg?)",,4788,gnd
"Anhalt-Bernburg, Louise v. (Siehe Wilhelmine Louise Prinzessin von Preußen)","['http://viaf.org/viaf/309741631', 'https://d-nb.info/gnd/1056252243/about']",2864,gnd
"Anhalt-Bernburg, Marie Friederike Herzogin von, geb. von Hessen-Kassel","['http://viaf.org/viaf/308725121', 'http://www.wikidata.org/entity/Q532592', 'https://d-nb.info/gnd/1051498783/about', 'https://de.wikipedia.org/wiki/Marie_Friederike_von_Hessen-Kassel', 'https://en.wikipedia.org/wiki/Marie_Friederike_of_Hesse-Kassel', 'https://kalliope-verbund.info/gnd/1051498783', 'https://www.archivportal-d.de/person/gnd/1051498783', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/1051498783', 'https://www.lagis-hessen.de/pnd/1051498783']",5053,gnd
"Anhalt-Bernburg, Prinzessin von",,3820,gnd
"Anisson-Dupéron, Alexandre-Jacques-Laurent","['http://id.loc.gov/rwo/agents/n88132733', 'http://viaf.org/viaf/233198426', 'http://www.wikidata.org/entity/Q2833353', 'https://d-nb.info/gnd/1023688956/about', 'https://kalliope-verbund.info/gnd/1023688956']",4594,gnd
"Anna Pawlowna von Holstein-Gottorp-Romanow, Großfürstin von Russland, Königin der Niederlande","['http://dbpedia.org/resource/Duchess_Marie_of_Mecklenburg-Schwerin', 'http://id.loc.gov/rwo/agents/n2019018253', 'http://isni.org/isni/0000000071750758', 'http://viaf.org/viaf/101339105', 'http://www.wikidata.org/entity/Q231463', 'https://d-nb.info/gnd/139618473/about', 'https://de.wikipedia.org/wiki/Marie_zu_Mecklenburg_%281854%E2%80%931920%29', 'https://en.wikipedia.org/wiki/Duchess_Marie_of_Mecklenburg-Schwerin', 'https://www.archivportal-d.de/person/gnd/139618473', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/139618473']",3027,gnd
"Anselm, Major",,4302,gnd
"Ansembourg, comtesse d'",,4730,gnd
"Ansembourg, Jean-Baptiste, comte d'",,4377,gnd
"Ansiaux/Anciaux, Docteur (Arzt in Lüttich)",,6146,gnd
"Antimèle, eigentl. Schmidt",,4225,gnd
"Antoinette, Mademoiselle (Dienstmädchen)",,5433,gnd
"Apponyi, Gräfin von, geb. Therese von Nogarola","['http://viaf.org/viaf/419152742893627730044', 'https://d-nb.info/gnd/1169755666/about']",6602,gnd
"Arago, François","['http://catalogue.bnf.fr/ark:/12148/cb120403630', 'http://dbpedia.org/resource/Fran%C3%A7ois_Arago', 'http://id.loc.gov/rwo/agents/n50052497', 'http://isni.org/isni/0000000122809159', 'http://viaf.org/viaf/64023378', 'http://www.portraitindex.de/dokumente/pnd/118847767', 'http://www.wikidata.org/entity/Q154353', 'https://d-nb.info/gnd/118847767/about', 'https://de.wikipedia.org/wiki/Fran%C3%A7ois_Arago', 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Arago', 'https://kalliope-verbund.info/gnd/118847767', 'https://www.archivportal-d.de/person/gnd/118847767', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118847767']",6517,gnd
"Arago, Jacques","['http://catalogue.bnf.fr/ark:/12148/cb12265696r', 'http://dbpedia.org/resource/Jacques_Arago', 'http://id.loc.gov/rwo/agents/no89018685', 'http://isni.org/isni/0000000080963691', 'http://viaf.org/viaf/17281333', 'http://www.wikidata.org/entity/Q117913', 'https://d-nb.info/gnd/100418694/about', 'https://de.wikipedia.org/wiki/Jacques_Arago', 'https://en.wikipedia.org/wiki/Jacques_Arago', 'https://kalliope-verbund.info/gnd/100418694', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/100418694']",3196,gnd
"Arago, Monsieur (Jacques?)",,4253,gnd
"Aranda, comte d'",,5399,gnd
